Ticker,Period,Date,Open,High,Low,Close,Volume
CDNS,Day,"Dec 20, 2023",273.7799987792969,275.6199951171875,272.79998779296875,274.2250061035156,406509
CDNS,Day,"Dec 19, 2023",275.0,277.7799987792969,273.80999755859375,274.3299865722656,1334100
CDNS,Day,"Dec 18, 2023",271.9100036621094,274.6400146484375,271.5199890136719,273.5,1439600
CDNS,Day,"Dec 15, 2023",270.2300109863281,273.05999755859375,270.0799865722656,271.5199890136719,3716500
CDNS,Day,"Dec 14, 2023",277.6099853515625,277.6499938964844,269.0799865722656,270.1000061035156,1854800
CDNS,Day,"Dec 13, 2023",277.19000244140625,278.20001220703125,271.5400085449219,276.57000732421875,1511900
CDNS,Day,"Dec 12, 2023",268.75,274.55999755859375,266.510009765625,274.2300109863281,1515200
CDNS,Day,"Dec 11, 2023",261.6000061035156,270.82000732421875,261.6000061035156,268.75,1840500
CDNS,Day,"Dec 08, 2023",257.55999755859375,261.5799865722656,257.55999755859375,259.92999267578125,1048600
CDNS,Day,"Dec 07, 2023",258.6300048828125,259.6199951171875,256.95001220703125,259.4700012207031,1406000
CDNS,Day,"Dec 06, 2023",263.3800048828125,263.45001220703125,257.1300048828125,257.67999267578125,1757900
CDNS,Day,"Dec 05, 2023",260.7200012207031,263.1499938964844,257.54998779296875,262.17999267578125,1449400
CDNS,Day,"Dec 04, 2023",267.55999755859375,268.0799865722656,258.0299987792969,263.4800109863281,2172500
CDNS,Day,"Dec 01, 2023",272.8500061035156,273.3999938964844,268.3800048828125,270.3500061035156,1679100
CDNS,Day,"Nov 30, 2023",277.6600036621094,279.3299865722656,269.5799865722656,273.2699890136719,1955300
CDNS,Day,"Nov 29, 2023",273.3900146484375,277.5199890136719,273.3900146484375,275.2099914550781,1140400
CDNS,Day,"Nov 28, 2023",270.55999755859375,273.0,270.2799987792969,270.7200012207031,985900
CDNS,Day,"Nov 27, 2023",270.7300109863281,273.8800048828125,268.2099914550781,271.54998779296875,1085400
CDNS,Day,"Nov 24, 2023",269.1099853515625,270.6099853515625,265.7200012207031,270.6099853515625,563700
